Cell,Pack Voltage (V),SMod,S,Pack Current (A),P,MCnt,Pack Power (kW),Pack Energy (kWh),Total Pack Weight (kg),Cell Weight (kg),Total Wall Weight (kg),Grav Energy Density (Wh/kg),Grav Power Density (W/kg),Pack Length (mm),Pack Width (mm),Pack Height (mm),Total Wall Volume (mm³)
GRPA344145,388.5,15,105,117.0,1.0,7,45.4545,3.0303,17.205470304,14.805,2.4004703039999997,0.17612421784805868,2.6418632677208804,150.0,301.0,144.0,885782.3999999999
GRPA344145,384.8,13,104,117.0,1.0,8,45.0216,3.00144,17.107275296,14.664,2.443275296,0.17544816156093498,2.6317224234140246,130.0,344.0,144.0,901577.6
GRPA344145,518.0,28,140,234.0,2.0,5,121.212,8.0808,43.847999679999994,39.48,4.36799968,0.18429118908440936,2.7643678362661404,280.0,430.0,144.0,1611808.0
GRPA344145,510.6,23,138,234.0,2.0,6,119.4804,7.96536,43.345718303999995,38.916,4.429718304,0.18376347910849933,2.75645218662749,230.0,516.0,144.0,1634582.4
GRPA344145,518.0,20,140,234.0,2.0,7,121.212,8.0808,44.084953408,39.48,4.604953407999999,0.18330063605179167,2.749509540776875,200.0,602.0,144.0,1699244.7999999998
GRPA344145,503.20000000000005,17,136,234.0,2.0,8,117.74880000000002,7.849920000000001,42.988840352,38.352,4.636840352,0.18260366959712124,2.7390550439568186,170.0,688.0,144.0,1711011.2
GRPA344145,499.5,27,135,234.0,2.0,5,116.883,7.7922,42.30956736,38.07,4.23956736,0.18417111037081518,2.7625666555622277,270.0,430.0,144.0,1564416.0
GRPA344145,488.40000000000003,22,132,234.0,2.0,6,114.2856,7.619040000000001,41.501394624,37.224,4.277394623999999,0.18358515584905086,2.7537773377357624,220.0,516.0,144.0,1578374.4
GRPA344145,492.09999999999997,19,133,234.0,2.0,7,115.1514,7.676759999999999,41.934738368,37.506,4.428738367999999,0.18306445440608882,2.7459668160913324,190.0,602.0,144.0,1634220.7999999998
GRPA344145,473.6,16,128,234.0,2.0,8,110.8224,7.38816,40.532733951999994,36.096,4.436733952,0.18227637959850593,2.734145693977589,160.0,688.0,144.0,1637171.2
