SampleID,Voltage,Current,Energy,GLV,Power
64.0,288.26202392578125,-0.039000000804662704,0.0,25.485393524169922,-11.242219165059169
65.0,289.4570007324219,-0.04100000113248825,0.0,25.31023597717285,-11.86773735783595
66.0,290.9430236816406,-0.03800000250339508,0.0,25.432846069335938,-11.055835628247678
67.0,292.26300048828125,-0.036000002175569534,0.0,25.450361251831055,-10.521468653416605
68.0,293.3330078125,-0.04000000283122063,0.0,25.57297134399414,-11.733321142990462
69.0,294.9590148925781,-0.03100000135600567,0.0,25.415328979492188,-9.143729861636018
70.0,296.1820068359375,-0.03800000250339508,0.0,25.608003616333008,-11.254917001226204
71.0,297.2380065917969,-0.029000001028180122,0.0,25.450361251831055,-8.61990249677632
72.0,298.7110290527344,-0.0430000014603138,0.0,25.643033981323242,-12.844574685479415
73.0,299.89202880859375,-0.04000000283122063,0.0,25.22265625,-11.995682001404248
